000001,/html/body/div[1]/article/div[2]/section/div[2]/div[3]/h1,/html/body/div[1]/article/div[2]/div[3]/section/div[1]/div[2]/div[2]/div[3]/div/span,/html/body/div[1]/article/div[2]/div[3]/section/div[1]/div[2]/div[4]/div/p[1],https://www.eltiempo.com/justicia/investigacion/aviones-de-fuerza-aerea-colisionaron-en-vuelo-de-entrenamiento-en-villavicencio-782649
000002,/html/body/div[2]/div/div[3]/div[2]/section[1]/div[2]/div[2]/div/div[1]/div/h1,/html/body/div[2]/div/div[3]/div[2]/section[1]/div[2]/div[2]/div/div[1]/div/div[1],/html/body/div[1]/div/div[3]/div[2]/section[1]/div[2]/div[2]/div/div[2]/section[1]/article/div[1]/section/p[1],https://www.elespectador.com/mundo/europa/rey-de-paises-bajos-pidio-perdon-por-el-pasado-esclavista-noticias-hoy/
000003,/html/body/div/div[2]/section[1]/div[1]/div/div[1]/div/h1,/html/body/div/div[2]/section[1]/div[1]/div/div[2]/article/div[1]/time,/html/body/div[1]/div[2]/section[1]/div[1]/div/div[2]/article/article/p[4],https://www.publimetro.co/noticias/2023/07/02/conmovedor-gatita-se-quedo-dormida-encima-del-ataud-de-su-dueno-en-el-velorio/
000004,/html/body/div[1]/main/article/header/div/div/div/div/div[1]/div/h1,/html/body/div[1]/main/article/header/div/div/div/div/div[1]/div/div/span[2],/html/body/div[1]/main/article/div/div[1]/div[1]/div/div/div/section[2]/div[1]/div,https://cambiocolombia.com/cultura/jacanamijoy-dona-100-serigrafias-para-los-lectores-de-cambio-esta-es-su-historia
000005,/html/body/div[1]/div[3]/main/div[1]/div/div[1]/h1/span,/html/body/div[1]/div[3]/main/div[1]/div/div[2]/article/div/div[1]/div[3],/html/body/div[1]/div[3]/main/div[1]/div/div[2]/article/div/div[2]/div/div[2]/p[1]/span/span/span,https://www.elnuevosiglo.com.co/articulos/07-01-2023-foro-atlantico-viene-un-cambio-de-era-por-la-libertad
000006,/html/body/div/div/div/div/main/div/section/div/div[1]/div/section/div/div/div/div[1]/div/h1,/html/body/div/div/div/div/main/div/section/div/div[1]/div/section/div/div/div/div[2]/div/ul/li[1]/a/span[2],/html/body/div/div/div/div/main/div/section/div/div[1]/div/section/div/div/div/div[5]/div/p[3],https://extra.com.co/conoce-sabores-exquisitos-de-la-gastronomia-panamena/
000007,/html/body/div/div/div/div/main/div/section/div/div/div/section/div/div[1]/div/div[1]/div/h1,/html/body/div/div/div/div/main/div/section/div/div/div/section/div/div[1]/div/div[3]/div/ul/li[1]/a/span[2],/html/body/div/div/div/div/main/div/section/div/div/div/section/div/div[1]/div/div[5]/div/p[1],https://www.diariodelsur.com.co/internet-gratuito-en-150-escuelas-benefician-a-mas-de-233-mil-estudiantes/
000008,/html/body/div[1]/main/div[1]/div[2]/div[1]/article/header/h1,/html/body/div[1]/main/div[1]/div[2]/div[1]/article/header/div/span/a/time[1],/html/body/div[1]/main/div[1]/div[2]/div[1]/article/div[2]/p[1],https://www.qhubocali.com/actualidad/video-dos-aeronaves-de-la-fuerza-aerea-chocaron-en-villavicencio/
000009,/html/body/div[24]/div[3]/div[1]/article/header/h1,/html/body/div[24]/div[3]/div[1]/article/header/p/span[1]/a,/html/body/div[24]/div[3]/div[1]/article/div[1]/p[5],https://qhubomedellin.com/ultimas-noticias/transito/cierres-viales-por-la-marcha-lgtbiq-y-eventos/
000010,/html/body/div/div[1]/div/div[2]/h1,/html/body/div/div[1]/div/div[2]/p/text()[1],/html/body/div/div[1]/div/div[4]/div[1]/div[1]/p[2]/span/span/span,https://www.diarioadn.co/noticias/twitter-restringe-la-lectura-de-tuits-600-para-usuarios-no-verificados+articulo+59114
000011,/html/body/div[1]/div/main/div[2]/div[1]/div/header/div[2]/h1/span,/html/body/div[1]/div/main/div[2]/div[1]/div/header/div[2]/div[1]/div,/html/body/div[1]/div/main/div[2]/div[1]/div/article/p[1],https://www.semana.com/mundo/articulo/protestas-en-francia-autoridades-informan-al-menos-427-detenciones-durante-el-sabado/202330/
000012,/html/body/div[1]/div/section/div[3]/div[1]/div/div[1]/div/div/div[2]/div/div[2]/h1/span,/html/body/div[1]/div/section/div[3]/div[1]/div/div[1]/div/div/div[5]/div[1]/div[1]/div/div[1]/div/span,/html/body/div[1]/div/section/div[3]/div[1]/div/div[1]/div/div/div[5]/div[1]/div[2]/div[1]/p[1],https://www.elcolombiano.com/cultura/la-mejor-biblioteca-de-antioquia-esta-en-santa-fe-de-antioquia-GM21875175
000013,/html/body/div[1]/div/div/article/div[1]/h1,/html/body/div[1]/div/div/article/div[1]/div[3]/small[1],/html/body/div[1]/div/div/article/main/div/div[2]/div[3],https://www.elpais.com.co/judicial/intento-de-fuga-de-internos-en-el-centro-de-detencion-de-san-nicolas-en-cali-deja-un-herido-0155.html
000014,/html/body/div[4]/div/div/div[1]/div/div/div/article/h1,/html/body/div[4]/div/div/div[1]/div/div/div/article/div[2]/span[2],/html/body/div[4]/div/div/div[1]/div/div/div/article/div[3]/p[1],https://www.las2orillas.co/las-dos-mascaras-kogui-que-le-devolvieron-los-alemanes-a-petro-terminaron-en-manos-de-sus-duenos/
000015,/html/body/div[2]/main/div[2]/div/article/div[1]/div[1]/div/div/div[1]/h1,/html/body/div[2]/main/div[2]/div/article/div[1]/div[1]/div/div/div[1]/ol/li[3]/time/span,/html/body/div[2]/main/div[2]/div/article/div[1]/div[1]/div/div/div[2]/div[4]/section[1]/p[4],https://www.pulzo.com/entretenimiento/carolina-cruz-lincoln-palomeque-ella-dio-nuevos-detalles-sobre-su-separacion-PP2256809
000016,/html/body/div[1]/div[3]/div[2]/div[1]/h1,/html/body/div[1]/div[3]/div[2]/div[1]/p[1]/div,/html/body/div[1]/div[3]/div[3]/div/section[2]/div[3]/p[2]/i[1],https://www.portafolio.co/economia/gobierno/gobierno-alista-firma-de-decreto-que-oficializara-estdo-de-emergencia-en-la-guajira-585314
000017,/html/body/div[1]/div/div[3]/div[1]/div[2]/div[1]/h2/span,/html/body/div[1]/div/div[3]/div[1]/div[2]/div[2]/span,/html/body/div[1]/div/div[3]/div[2]/div[2]/div[1]/div[4]/p[1],https://www.larepublica.co/economia/cerro-junio-y-continuo-la-marcada-desaceleracion-del-sector-automotor-en-colombia-3650089
000018,/html/body/div/div[1]/div/div[1]/div/div/div[2]/div/div/div/article/section[1]/div/div[4]/h1,/html/body/div/div[1]/div/div[1]/div/div/div[2]/div/div/div/article/section[1]/div/div[4]/h1,/html/body/div/div[1]/div/div[1]/div/div/div[2]/div/div/div/article/section[2]/div[4]/div[1]/p,https://www.elheraldo.co/medio-ambiente/poblacion-del-municipio-de-monitos-en-cordoba-cuido-gigantesca-tortuga-laud-hasta
000019,/html/body/div[1]/div[3]/div/div[7]/div/div/main/section[1]/div[4]/div/h1/span,/html/body/div[1]/div[3]/div/div[7]/div/div/main/section[1]/div[5]/div/article/div/div[7]/span,/html/body/div[1]/div[3]/div/div[7]/div/div/main/section[1]/div[5]/div/article/div/div[5]/div[1]/div/div/p[1],https://www.laopinion.com.co/economia/calzado-espera-un-repunte-en-las-ventas-para-el-segundo-semestre
